Salary,Human Resources,Marketing Spend,City,Tax
200072.532,136897.8,471784.1,Belgrade,
196743.217,151377.59,443898.53,Novi Sad,
185664.2271,101145.55,407934.54,Nis,
174690.6161,118671.85,383199.62,Belgrade,
171949.8814,91391.77,366168.42,Nis,
159571.049,99814.71,362861.36,Belgrade,
162884.7066,147198.87,127716.82,Novi Sad,
157660.7373,145530.06,323876.68,Nis,
145856.4492,148718.95,311613.29,Belgrade,
149235.2048,108679.17,304981.62,Novi Sad,
123314.8268,110594.11,229160.95,Nis,
121813.0716,91790.61,249744.55,Novi Sad,
113575.1375,127320.38,249839.44,Nis,
111310.7919,135495.07,252664.93,Novi Sad,
145131.3204,156547.42,256512.92,Nis,
138573.5681,122616.84,261776.23,Belgrade,
94395.8631,121597.55,264346.06,Novi Sad,
114535.1636,145077.58,282574.31,Belgrade,
111016.4836,114175.79,294919.57,Nis,
104567.837,153514.11,0,Belgrade,
92267.1706,113867.3,298664.47,Novi Sad,
94851.2587,153773.43,299737.29,Belgrade,
89533.4176,122782.75,303319.26,Nis,
81714.3613,105751.03,304768.73,Nis,
93223.2521,99281.34,140574.81,Belgrade,
78244.2991,139553.16,137962.62,Novi Sad,
91147.9327,144135.98,134050.07,Nis,
87250.196,127864.55,353183.81,Belgrade,
79922.3392,182645.56,118148.2,Nis,
79382.6308,153032.06,107138.38,Belgrade,
75013.3208,115641.28,91131.24,Nis,
73975.0198,152701.92,88218.23,Belgrade,
76724.7206,129219.61,46085.25,Novi Sad,
67147.6795,103057.49,214634.81,Nis,
56175.5447,157693.92,210797.67,Novi Sad,
55676.9642,85047.44,205517.64,Belgrade,
34683.1496,127056.21,201126.82,Nis,
53324.6395,51283.14,197029.42,Novi Sad,
24477.8039,65947.93,185265.1,Belgrade,
46655.7971,82982.09,174999.3,Novi Sad,
34792.7393,118546.05,172795.67,Novi Sad,
33750.4332,84710.77,164470.71,Nis,
28605.5253,96189.63,148001.11,Novi Sad,
18761.9333,127382.3,35534.17,Belgrade,
26835.0654,154806.14,28334.72,Novi Sad,
1210.2783,124153.04,1903.93,Belgrade,
1591.7066,115816.21,297114.46,Nis,
0,135426.92,0,Novi Sad,
655.8805,51743.15,0,Belgrade,
0,116983.8,45173.06,Novi Sad,
